Title,Organization_name,Type,Traded as,ISIN,Industry,Predecessors,Headquarters,Area served,Key people,Products,Revenue,Operating income,Net income,Total assets,Total equity,Number of employees,Parent,Subsidiaries,Website
Daimler AG,Daimler AG,Public (Aktiengesellschaft),"FWB: DAI, DAX component",DE0007100000,['Automotive'],"Benz & Cie (1883–1926), Daimler Motoren Gesellschaft (1890–1926)","Mercedesstraße, Stuttgart, Germany",Worldwide,"['Ola Källenius', ' Chairman of the Board of Management', ' Manfred Bischoff', ' Chairman of the Supervisory Board']","Automobiles, commercial vehicles",€172.745 billion (2019),€4.329 billion (2019),€2.709 billion (2019),€281.619 billion (2018),€66.053 billion (2018),"298,683 (Dec. 31, 2018)",,['TransportationDaimler Commercial Vehicle Manufacturing IndonesiaMercedes-Benz IndonesiaEvoBus GmbHSetraDaimler Trucks North AmericaFreightliner TrucksThomas Built BusesWestern Star TrucksMercedes-Benz MexicoMitsubishi Fuso Truck and Bus Corporation (89.29%)Daimler India Commercial VehiclesBharatBenzMercedes-Benz IndiaMaster MotorsManufacturing Commercial VehiclesMotorsportsMercedes-AMG Petronas Formula One TeamMercedes-Benz EQ Formula E TeamAutomotive TechnologyAutomotive Fuel Cell Cooperation (50.1%)EnginesEngine HoldingFinancesDaimler Financial ServicesMercedes-Benz BankMercedes-Benz FinancialDaimler Truck FinancialOtherDetroit DieselHereInternationalDaimler do BrasilDaimler South AfricaDaimler AustraliaDaimler KoreaDaimler South East Asia'],daimler.com
Hunan Normal University,Hunan Normal University,Public,,,,,,,,,,,,,,,,,http://www.hunnu.edu.cn
University of Miami,University of Miami,Private,,,,,,,,,,,,,,,,,miami.edu
Massachusetts Institute of Technology,,Private Land grant Sea grant Space grant,,,,,,,,,,,,,,,,,web.mit.edu
Safran Helicopter Engines,Turbomeca,Private,,,['Aerospace & Defence'],,"Bordes, France",,"['Bruno Even', ' CEO']",Turboshaft and jet engines,,,,,,"6,300 (2016)",Safran S.A.,,www.safran-helicopter-engines.com
BlackBerry Limited,BlackBerry Limited,Public,"TSX: BB, NYSE: BB, S&P/TSX 60 Component",CA09228F1036,['Software'],,"Waterloo, Ontario, Canada",Worldwide,['John S. Chen (Chairman & CEO)'],"BlackBerry, BlackBerry Messenger, BlackBerry Enterprise Server, BlackBerry Internet Service, QNX",US$0.916 billion (FY 2019),,US$0.131 billion (FY 2019) [ citation needed ],US$3.929 billion (FY 2019) [ citation needed ],US$2.636 billion (FY 2019) [ citation needed ],"4,044 (2017)",,['Cylance'],www.blackberry.com
Educational Testing Service,Educational Testing Service,501(c)(3),,,,,"660 Rosedale Road, Princeton, New Jersey",,['Robert S. Murley (Chairman)'],"TOEFL and TOEIC tests, GRE General and Subject Tests, HiSET and Praxis Series assessments",,,,,,,,,www.ets.org
Asahi Kasei,Asahi Kasei Corporation,Public KK,TYO : 3407 TOPIX Large 70 Component TOPIX 100 Component Nikkei 225 Component,JP3111200006,['Chemical industry'],,"Hibiya Mitsui Tower, 1-1-2 Yurakucho, Chiyoda, Tokyo 100-0006 Japan",,['Hideki Kobori (President)'],"Chemicals, Fibers, Construction materials, Pharmaceuticals, Medical devices, Electronic devices and materials","$ 18.5 billion (FY 2014) (¥ 1,897 billion) (FY 2014)",,$ 989.7 million (FY 2014) (¥ 101.29 billion) (FY 2014),,,"34,670 (consolidated, as of March 31, 2018)",,,Official website
Dzung Tran,Dzung Tran,,,,,,,,,,,,,,,,,,
University of Montana,The University of Montana,Public university (state university),,,,,,,,,,,,,,,,,www.umt.edu
